Country Name,Country Code,Year,Value,Disaggregation
New Zealand,NZL,2020,28.85,"At least Bachelor's or equivalent, male"
Nicaragua,NIC,2021,18.827,"At least Bachelor's or equivalent, male"
Niger,NER,2022,1.805,"At least Bachelor's or equivalent, male"
Nigeria,NGA,2022,4.263,"At least Bachelor's or equivalent, male"
North Macedonia,MKD,2023,20.738,"At least Bachelor's or equivalent, male"
Norway,NOR,2022,25.291,"At least Bachelor's or equivalent, male"
Oman,OMN,2022,15.64,"At least Bachelor's or equivalent, male"
Pakistan,PAK,2021,10.177,"At least Bachelor's or equivalent, male"
Palau,PLW,2020,12.384,"At least Bachelor's or equivalent, male"
Panama,PAN,2023,12.929,"At least Bachelor's or equivalent, male"
Papua New Guinea,PNG,2022,4.247,"At least Bachelor's or equivalent, male"
Paraguay,PRY,2020,11.73,"At least Bachelor's or equivalent, male"
Philippines,PHL,2022,15.939,"At least Bachelor's or equivalent, male"
Poland,POL,2022,24.714,"At least Bachelor's or equivalent, male"
Portugal,PRT,2023,20.836,"At least Bachelor's or equivalent, male"
Puerto Rico,PRI,2017,6.13,"At least Bachelor's or equivalent, male"
Qatar,QAT,2022,25.34,"At least Bachelor's or equivalent, male"
Romania,ROU,2022,14.834,"At least Bachelor's or equivalent, male"
Russian Federation,RUS,2021,39.23,"At least Bachelor's or equivalent, male"
Rwanda,RWA,2023,6.242,"At least Bachelor's or equivalent, male"
Samoa,WSM,2022,14.404,"At least Bachelor's or equivalent, male"
San Marino,SMR,2022,16.85,"At least Bachelor's or equivalent, male"
Sao Tome and Principe,STP,2019,6.416,"At least Bachelor's or equivalent, male"
Saudi Arabia,SAU,2023,28.463,"At least Bachelor's or equivalent, male"
Senegal,SEN,2022,7.425,"At least Bachelor's or equivalent, male"
Serbia,SRB,2023,17.475,"At least Bachelor's or equivalent, male"
Sierra Leone,SLE,2019,3.373,"At least Bachelor's or equivalent, male"
Singapore,SGP,2022,38.15,"At least Bachelor's or equivalent, male"
Slovak Republic,SVK,2022,22.865,"At least Bachelor's or equivalent, male"
Slovenia,SVN,2022,22.296,"At least Bachelor's or equivalent, male"
Solomon Islands,SLB,2013,14.603,"At least Bachelor's or equivalent, male"
Somalia,SOM,2022,7.11,"At least Bachelor's or equivalent, male"
South Africa,ZAF,2023,11.164,"At least Bachelor's or equivalent, male"
South Sudan,SSD,2008,4.39,"At least Bachelor's or equivalent, male"
Spain,ESP,2022,22.163,"At least Bachelor's or equivalent, male"
Sri Lanka,LKA,2022,1.055,"At least Bachelor's or equivalent, male"
Sudan,SDN,2022,8.116,"At least Bachelor's or equivalent, male"
Suriname,SUR,2018,4.512,"At least Bachelor's or equivalent, male"
Sweden,SWE,2022,28.408,"At least Bachelor's or equivalent, male"
Switzerland,CHE,2023,45.915,"At least Bachelor's or equivalent, male"
Tajikistan,TJK,2017,16.94,"At least Bachelor's or equivalent, male"
Tanzania,TZA,2022,3.31,"At least Bachelor's or equivalent, male"
Thailand,THA,2022,14.83,"At least Bachelor's or equivalent, male"
Timor-Leste,TLS,2022,1.59,"At least Bachelor's or equivalent, male"
Togo,TGO,2022,9.753,"At least Bachelor's or equivalent, male"
Tonga,TON,2021,5.482,"At least Bachelor's or equivalent, male"
Trinidad and Tobago,TTO,2022,7.866,"At least Bachelor's or equivalent, male"
Tunisia,TUN,2022,11.578,"At least Bachelor's or equivalent, male"
Turkiye,TUR,2022,22.842,"At least Bachelor's or equivalent, male"
Turkmenistan,TKM,2019,18.118,"At least Bachelor's or equivalent, male"
Turks and Caicos Islands,TCA,2019,9.836,"At least Bachelor's or equivalent, male"
Tuvalu,TUV,2022,5.364,"At least Bachelor's or equivalent, male"
Uganda,UGA,2021,5.997,"At least Bachelor's or equivalent, male"
Ukraine,UKR,2001,17.59,"At least Bachelor's or equivalent, male"
United Arab Emirates,ARE,2022,50.5,"At least Bachelor's or equivalent, male"
United Kingdom,GBR,2023,36.491,"At least Bachelor's or equivalent, male"
United States,USA,2023,37.413,"At least Bachelor's or equivalent, male"
Uruguay,URY,2022,18.11,"At least Bachelor's or equivalent, male"
Uzbekistan,UZB,2022,19.72,"At least Bachelor's or equivalent, male"
Vanuatu,VUT,2020,3.144,"At least Bachelor's or equivalent, male"
"Venezuela, RB",VEN,2017,17.53,"At least Bachelor's or equivalent, male"
Viet Nam,VNM,2023,11.731,"At least Bachelor's or equivalent, male"
West Bank and Gaza,PSE,2022,21.17,"At least Bachelor's or equivalent, male"
"Yemen, Rep.",YEM,2014,8.197,"At least Bachelor's or equivalent, male"
Zambia,ZMB,2022,3.375,"At least Bachelor's or equivalent, male"
Zimbabwe,ZWE,2022,1.047,"At least Bachelor's or equivalent, male"
