Country Name,Country Code,Year,Value,Disaggregation
Nicaragua,NIC,2021,52.35,"At least completed upper secondary, total"
Niger,NER,2022,3.157,"At least completed upper secondary, total"
Nigeria,NGA,2022,65.67,"At least completed upper secondary, total"
North Macedonia,MKD,2023,71.95,"At least completed upper secondary, total"
Norway,NOR,2022,79.071,"At least completed upper secondary, total"
Oman,OMN,2022,63.5,"At least completed upper secondary, total"
Pakistan,PAK,2021,26.791,"At least completed upper secondary, total"
Palau,PLW,2020,87.559,"At least completed upper secondary, total"
Panama,PAN,2023,51.134,"At least completed upper secondary, total"
Papua New Guinea,PNG,2022,19.607,"At least completed upper secondary, total"
Paraguay,PRY,2022,45.61,"At least completed upper secondary, total"
Peru,PER,2023,64.487,"At least completed upper secondary, total"
Philippines,PHL,2022,34.461,"At least completed upper secondary, total"
Poland,POL,2023,66.998,"At least completed upper secondary, total"
Portugal,PRT,2023,47.409,"At least completed upper secondary, total"
Puerto Rico,PRI,2017,80.02,"At least completed upper secondary, total"
Qatar,QAT,2022,51.43,"At least completed upper secondary, total"
Romania,ROU,2022,73.03,"At least completed upper secondary, total"
Russian Federation,RUS,2023,92.7,"At least completed upper secondary, total"
Rwanda,RWA,2023,14.627,"At least completed upper secondary, total"
Samoa,WSM,2022,43.902,"At least completed upper secondary, total"
San Marino,SMR,2022,58.59,"At least completed upper secondary, total"
Sao Tome and Principe,STP,2017,7.365,"At least completed upper secondary, total"
Saudi Arabia,SAU,2023,64.774,"At least completed upper secondary, total"
Senegal,SEN,2022,10.72,"At least completed upper secondary, total"
Serbia,SRB,2023,76.104,"At least completed upper secondary, total"
Seychelles,SYC,2020,84.314,"At least completed upper secondary, total"
Sierra Leone,SLE,2019,12.093,"At least completed upper secondary, total"
Singapore,SGP,2023,63.372,"At least completed upper secondary, total"
Slovak Republic,SVK,2022,90.181,"At least completed upper secondary, total"
Slovenia,SVN,2022,86.001,"At least completed upper secondary, total"
Solomon Islands,SLB,2013,25.346,"At least completed upper secondary, total"
Somalia,SOM,2022,9.81,"At least completed upper secondary, total"
South Africa,ZAF,2023,44.169,"At least completed upper secondary, total"
South Sudan,SSD,2008,14.47,"At least completed upper secondary, total"
Spain,ESP,2023,55.249,"At least completed upper secondary, total"
Sri Lanka,LKA,2022,64.07,"At least completed upper secondary, total"
St. Lucia,LCA,2022,20.393,"At least completed upper secondary, total"
Sudan,SDN,2022,20.346,"At least completed upper secondary, total"
Suriname,SUR,2018,20.24,"At least completed upper secondary, total"
Sweden,SWE,2022,83.984,"At least completed upper secondary, total"
Switzerland,CHE,2023,84.277,"At least completed upper secondary, total"
Syrian Arab Republic,SYR,2009,21.9,"At least completed upper secondary, total"
Tajikistan,TJK,2017,80.67,"At least completed upper secondary, total"
Tanzania,TZA,2022,6.542,"At least completed upper secondary, total"
Thailand,THA,2023,39.44,"At least completed upper secondary, total"
Timor-Leste,TLS,2022,14.926,"At least completed upper secondary, total"
Togo,TGO,2022,16.108,"At least completed upper secondary, total"
Tonga,TON,2021,68.78,"At least completed upper secondary, total"
Trinidad and Tobago,TTO,2022,63.403,"At least completed upper secondary, total"
Tunisia,TUN,2023,43.94,"At least completed upper secondary, total"
Turkiye,TUR,2023,41.063,"At least completed upper secondary, total"
Turkmenistan,TKM,2019,32.988,"At least completed upper secondary, total"
Turks and Caicos Islands,TCA,2019,75.117,"At least completed upper secondary, total"
Tuvalu,TUV,2022,38.944,"At least completed upper secondary, total"
Uganda,UGA,2021,38.757,"At least completed upper secondary, total"
Ukraine,UKR,2021,72.483,"At least completed upper secondary, total"
United Arab Emirates,ARE,2022,74.39,"At least completed upper secondary, total"
United Kingdom,GBR,2023,79.413,"At least completed upper secondary, total"
United States,USA,2023,95.289,"At least completed upper secondary, total"
Uruguay,URY,2023,33.718,"At least completed upper secondary, total"
Uzbekistan,UZB,2022,96.84,"At least completed upper secondary, total"
Vanuatu,VUT,2020,19.176,"At least completed upper secondary, total"
"Venezuela, RB",VEN,2017,58.068,"At least completed upper secondary, total"
Viet Nam,VNM,2023,39.095,"At least completed upper secondary, total"
West Bank and Gaza,PSE,2022,46.86,"At least completed upper secondary, total"
"Yemen, Rep.",YEM,2023,25.61,"At least completed upper secondary, total"
Zambia,ZMB,2022,38.453,"At least completed upper secondary, total"
Zimbabwe,ZWE,2022,65.944,"At least completed upper secondary, total"
