,Births_per_woman_2019,Population_Density_2010,GDP_per_capita_2022,beds_per_1000,Maternal_mortality_ratio _2019,Population_2019,Adolescent Birth Rate
PRY,2.525,16.2446514,8762.771,1.01,70.0,6515058.0,
PSE,3.642,689.7009967,4775.202,,20.0,4685306.0,
PYF,1.712,74.04371585,,,,279034.0,27.97
QAT,1.834,151.7687662,149171.11,,7.0,2638657.0,8.23
ROU,1.77,93.18438668,26197.904,7.06,10.0,19371648.0,35.88
RUS,1.504,8.655500105,25437.107,7.08,7.0,145453291.0,14.6
RWA,3.939,430.6445075,2198.0662,0.74,281.0,12776103.0,
SAU,2.504,12.76835265,53516.91,2.18,18.0,30063799.0,
SDN,4.617,18.32996633,,0.66,298.0,45548175.0,
SEN,4.517,64.58214304,2660.6816,5.35,258.0,16352922.0,67.42
SGP,1.14,7252.857143,80320.086,2.63,6.0,5703569.0,3.3
SLB,4.104,19.22115041,,,127.0,728147.0,
SLE,4.192,81.91845853,1690.4982,,435.0,7731991.0,
SLV,1.838,298.8899614,9218.905,1.08,39.0,6222318.0,
SMR,,525.5666667,,,,34663.0,1.23
SOM,6.531,14.87391207,,,606.0,16030971.0,
SRB,1.52,83.36382346,17097.686,5.35,10.0,6945235.0,13.64
SSD,4.619,,,,1245.0,10423384.0,
STP,3.964,171.875,3751.6428,,142.0,213392.0,
SUR,2.394,3.365384615,,2.89,100.0,605768.0,50.22
SVK,1.57,112.9132876,27519.287,5.68,5.0,5454147.0,26.88
SVN,1.61,101.7378352,32673.762,4.25,3.0,2088385.0,4.57
SWE,1.71,22.85421845,47126.13,2.05,5.0,10278887.0,3.38
SWZ,2.921,61.39534884,8522.45,,228.0,1179874.0,
SXM,1.601,1113.248771,,,,40385.0,
SYC,2.36,189.1304348,31055.39,3.19,3.0,97625.0,69.0
SYR,2.835,111.3489081,2494.7612,1.39,33.0,20353534.0,
TCA,1.692,40.37263158,,,,43166.0,17.37
TCD,6.412,8.915978399,1393.5635,,1047.0,16685223.0,
TGO,4.385,110.8291965,1586.5889,,418.0,8463068.0,
THA,1.352,135.2972264,16421.072,2.33,29.0,71522271.0,29.7
TJK,3.281,49.14975707,5507.5454,4.36,16.0,9529966.0,41.78
TKM,2.74,10.72925755,17234.555,4.09,5.0,6803944.0,
TLS,3.336,75.58843309,,,224.0,1300945.0,
TON,3.315,144.4444444,,,125.0,105669.0,
TTO,1.643,261.4035088,25773.006,1.92,26.0,1363985.0,
TUN,2.148,67.90036045,10913.846,2.38,40.0,11875081.0,6.2
TUR,1.967,94.52853969,27361.988,2.99,17.0,82579440.0,17.33
TUV,3.199,327.5666667,,,,10581.0,
TZA,4.864,50.62203658,3057.3286,0.63,262.0,59174891.0,116.35
UGA,4.809,167.278915,2122.0278,,292.0,42999637.0,
UKR,1.228,79.18076365,7749.0996,6.26,9.0,44957458.0,15.53
URY,1.546,19.18066507,20181.94,2.49,20.0,3397206.0,32.95
USA,1.706,33.81816949,58487.465,2.74,20.0,328329953.0,16.04
UZB,2.785,66.35637047,12559.401,4.78,30.0,32964701.0,2.03
VCT,1.838,279.4871795,,,65.0,104167.0,55.2
VEN,2.25,32.68975682,5267.1753,0.99,177.0,28938098.0,76.13
VGB,0.948,,,,,36395.0,
VIR,2.05,314.2857143,,,,106669.0,
VNM,1.948,280.3495985,8050.359,,50.0,97173776.0,24.23
VUT,3.813,19.68826907,,,93.0,291985.0,
WSM,4.047,65.01766784,,,66.0,209780.0,
XKX,1.546,,,,,1788891.0,
YEM,3.963,45.55751274,1959.3195,,181.0,35111408.0,
ZAF,2.475,41.16281176,11415.887,,118.0,59587885.0,
ZMB,4.451,17.38925732,3342.4214,,129.0,18513839.0,
ZWE,3.599,32.49579941,1703.5294,,393.0,15271368.0,
