Entity
CPV_Population (historical)
CRI_Estimated maternal mortality ratio
CRI_Population (historical)
CUB_Estimated maternal mortality ratio
CUB_Population (historical)
CUW_Estimated maternal mortality ratio
CUW_Population (historical)
CYM_Estimated maternal mortality ratio
CYM_Population (historical)
CYP_Estimated maternal mortality ratio
CYP_Population (historical)
CZE_Estimated maternal mortality ratio
CZE_Population (historical)
DEU_Estimated maternal mortality ratio
DEU_Population (historical)
DJI_Estimated maternal mortality ratio
DJI_Population (historical)
DMA_Estimated maternal mortality ratio
DMA_Population (historical)
DNK_Estimated maternal mortality ratio
DNK_Population (historical)
DOM_Estimated maternal mortality ratio
DOM_Population (historical)
DZA_Estimated maternal mortality ratio
DZA_Population (historical)
ECU_Estimated maternal mortality ratio
ECU_Population (historical)
EGY_Estimated maternal mortality ratio
EGY_Population (historical)
ERI_Estimated maternal mortality ratio
ERI_Population (historical)
ESH_Estimated maternal mortality ratio
ESH_Population (historical)
ESP_Estimated maternal mortality ratio
ESP_Population (historical)
EST_Estimated maternal mortality ratio
EST_Population (historical)
ETH_Estimated maternal mortality ratio
ETH_Population (historical)
East Germany_Estimated maternal mortality ratio
East Germany_Population (historical)
Europe (UN)_Estimated maternal mortality ratio
Europe (UN)_Population (historical)
Europe_Estimated maternal mortality ratio
Europe_Population (historical)
European Union (27)_Estimated maternal mortality ratio
European Union (27)_Population (historical)
FIN_Estimated maternal mortality ratio
FIN_Population (historical)
FJI_Estimated maternal mortality ratio
FJI_Population (historical)
FLK_Estimated maternal mortality ratio
FLK_Population (historical)
FRA_Estimated maternal mortality ratio
FRA_Population (historical)
FRO_Estimated maternal mortality ratio
FRO_Population (historical)
FSM_Estimated maternal mortality ratio
FSM_Population (historical)
GAB_Estimated maternal mortality ratio
GAB_Population (historical)
GBR_Estimated maternal mortality ratio
GBR_Population (historical)
GEO_Estimated maternal mortality ratio
GEO_Population (historical)
GGY_Estimated maternal mortality ratio
GGY_Population (historical)
GHA_Estimated maternal mortality ratio
GHA_Population (historical)
GIB_Estimated maternal mortality ratio
GIB_Population (historical)
GIN_Estimated maternal mortality ratio
GIN_Population (historical)
GLP_Estimated maternal mortality ratio
GLP_Population (historical)
GMB_Estimated maternal mortality ratio
GMB_Population (historical)
GNB_Estimated maternal mortality ratio
GNB_Population (historical)
GNQ_Estimated maternal mortality ratio
GNQ_Population (historical)
GRC_Estimated maternal mortality ratio
GRC_Population (historical)
GRD_Estimated maternal mortality ratio
GRD_Population (historical)
GRL_Estimated maternal mortality ratio
GRL_Population (historical)
GTM_Estimated maternal mortality ratio
GTM_Population (historical)
GUF_Estimated maternal mortality ratio
GUF_Population (historical)
GUM_Estimated maternal mortality ratio
GUM_Population (historical)
GUY_Estimated maternal mortality ratio
GUY_Population (historical)
HKG_Estimated maternal mortality ratio
HKG_Population (historical)
HND_Estimated maternal mortality ratio
HND_Population (historical)
HRV_Estimated maternal mortality ratio
HRV_Population (historical)
HTI_Estimated maternal mortality ratio
HTI_Population (historical)
HUN_Estimated maternal mortality ratio
HUN_Population (historical)
High-income countries_Estimated maternal mortality ratio
High-income countries_Population (historical)
IDN_Estimated maternal mortality ratio
IDN_Population (historical)
IMN_Estimated maternal mortality ratio
IMN_Population (historical)
IND_Estimated maternal mortality ratio
IND_Population (historical)
IRL_Estimated maternal mortality ratio
IRL_Population (historical)
IRN_Estimated maternal mortality ratio
IRN_Population (historical)
IRQ_Estimated maternal mortality ratio
IRQ_Population (historical)
ISL_Estimated maternal mortality ratio
ISL_Population (historical)
ISR_Estimated maternal mortality ratio
ISR_Population (historical)
ITA_Estimated maternal mortality ratio
ITA_Population (historical)
JAM_Estimated maternal mortality ratio
JAM_Population (historical)
JEY_Estimated maternal mortality ratio
JEY_Population (historical)
JOR_Estimated maternal mortality ratio
JOR_Population (historical)
JPN_Estimated maternal mortality ratio
JPN_Population (historical)
KAZ_Estimated maternal mortality ratio
KAZ_Population (historical)
KEN_Estimated maternal mortality ratio
KEN_Population (historical)
KGZ_Estimated maternal mortality ratio
KGZ_Population (historical)
KHM_Estimated maternal mortality ratio
KHM_Population (historical)
KIR_Estimated maternal mortality ratio
KIR_Population (historical)
KNA_Estimated maternal mortality ratio
KNA_Population (historical)
KOR_Estimated maternal mortality ratio
KOR_Population (historical)
KWT_Estimated maternal mortality ratio
KWT_Population (historical)
LAO_Estimated maternal mortality ratio
LAO_Population (historical)
LBN_Estimated maternal mortality ratio
LBN_Population (historical)
LBR_Estimated maternal mortality ratio
LBR_Population (historical)
LBY_Estimated maternal mortality ratio
LBY_Population (historical)
LCA_Estimated maternal mortality ratio
LCA_Population (historical)
LIE_Estimated maternal mortality ratio
LIE_Population (historical)
LKA_Estimated maternal mortality ratio
LKA_Population (historical)
LSO_Estimated maternal mortality ratio
LSO_Population (historical)
LTU_Estimated maternal mortality ratio
LTU_Population (historical)
LUX_Estimated maternal mortality ratio
LUX_Population (historical)
LVA_Estimated maternal mortality ratio
LVA_Population (historical)
Latin America and the Caribbean (UN)_Estimated maternal mortality ratio
Latin America and the Caribbean (UN)_Population (historical)
Low-income countries_Estimated maternal mortality ratio
Low-income countries_Population (historical)
Lower-middle-income countries_Estimated maternal mortality ratio
Lower-middle-income countries_Population (historical)
MAC_Estimated maternal mortality ratio
MAC_Population (historical)
MAF_Estimated maternal mortality ratio
MAF_Population (historical)
MAR_Estimated maternal mortality ratio
MAR_Population (historical)
MCO_Estimated maternal mortality ratio
MCO_Population (historical)
MDA_Estimated maternal mortality ratio
MDA_Population (historical)
MDG_Estimated maternal mortality ratio
MDG_Population (historical)
MDV_Estimated maternal mortality ratio
MDV_Population (historical)
MEX_Estimated maternal mortality ratio
MEX_Population (historical)
MHL_Estimated maternal mortality ratio
MHL_Population (historical)
MKD_Estimated maternal mortality ratio
MKD_Population (historical)
MLI_Estimated maternal mortality ratio
MLI_Population (historical)
MLT_Estimated maternal mortality ratio
MLT_Population (historical)
MMR_Estimated maternal mortality ratio
MMR_Population (historical)
MNE_Estimated maternal mortality ratio
MNE_Population (historical)
MNG_Estimated maternal mortality ratio
MNG_Population (historical)
MNP_Estimated maternal mortality ratio
MNP_Population (historical)
MOZ_Estimated maternal mortality ratio
MOZ_Population (historical)
MRT_Estimated maternal mortality ratio
MRT_Population (historical)
MSR_Estimated maternal mortality ratio
MSR_Population (historical)
MTQ_Estimated maternal mortality ratio
MTQ_Population (historical)
MUS_Estimated maternal mortality ratio
MUS_Population (historical)
MWI_Estimated maternal mortality ratio
MWI_Population (historical)
MYS_Estimated maternal mortality ratio
MYS_Population (historical)
MYT_Estimated maternal mortality ratio
MYT_Population (historical)
NAM_Estimated maternal mortality ratio
NAM_Population (historical)
NCL_Estimated maternal mortality ratio
NCL_Population (historical)
NER_Estimated maternal mortality ratio
NER_Population (historical)
NGA_Estimated maternal mortality ratio
NGA_Population (historical)
NIC_Estimated maternal mortality ratio
NIC_Population (historical)
NIU_Estimated maternal mortality ratio
NIU_Population (historical)
NLD_Estimated maternal mortality ratio
NLD_Population (historical)
NOR_Estimated maternal mortality ratio
NOR_Population (historical)
NPL_Estimated maternal mortality ratio
NPL_Population (historical)
NRU_Estimated maternal mortality ratio
NRU_Population (historical)
NZL_Estimated maternal mortality ratio
NZL_Population (historical)
Netherlands Antilles_Estimated maternal mortality ratio
Netherlands Antilles_Population (historical)
North America_Estimated maternal mortality ratio
North America_Population (historical)
Northern America (UN)_Estimated maternal mortality ratio
Northern America (UN)_Population (historical)
OMN_Estimated maternal mortality ratio
OMN_Population (historical)
Oceania (UN)_Estimated maternal mortality ratio
Oceania (UN)_Population (historical)
Oceania_Estimated maternal mortality ratio
Oceania_Population (historical)
PAK_Estimated maternal mortality ratio
PAK_Population (historical)
PAN_Estimated maternal mortality ratio
PAN_Population (historical)
PER_Estimated maternal mortality ratio
PER_Population (historical)
PHL_Estimated maternal mortality ratio
PHL_Population (historical)
PLW_Estimated maternal mortality ratio
PLW_Population (historical)
PNG_Estimated maternal mortality ratio
PNG_Population (historical)
POL_Estimated maternal mortality ratio
POL_Population (historical)
PRI_Estimated maternal mortality ratio
PRI_Population (historical)
PRK_Estimated maternal mortality ratio
PRK_Population (historical)
PRT_Estimated maternal mortality ratio
PRT_Population (historical)
PRY_Estimated maternal mortality ratio
PRY_Population (historical)
PSE_Estimated maternal mortality ratio
PSE_Population (historical)
PYF_Estimated maternal mortality ratio
PYF_Population (historical)
QAT_Estimated maternal mortality ratio
QAT_Population (historical)
REU_Estimated maternal mortality ratio
REU_Population (historical)
ROU_Estimated maternal mortality ratio
ROU_Population (historical)
RUS_Estimated maternal mortality ratio
RUS_Population (historical)
RWA_Estimated maternal mortality ratio
RWA_Population (historical)
SAU_Estimated maternal mortality ratio
SAU_Population (historical)
SDN_Estimated maternal mortality ratio
SDN_Population (historical)
SEN_Estimated maternal mortality ratio
SEN_Population (historical)
SGP_Estimated maternal mortality ratio
SGP_Population (historical)
SHN_Estimated maternal mortality ratio
SHN_Population (historical)
SJM_Estimated maternal mortality ratio
SJM_Population (historical)
SLB_Estimated maternal mortality ratio
SLB_Population (historical)
SLE_Estimated maternal mortality ratio
SLE_Population (historical)
SLV_Estimated maternal mortality ratio
SLV_Population (historical)
SMR_Estimated maternal mortality ratio
SMR_Population (historical)
SOM_Estimated maternal mortality ratio
SOM_Population (historical)
SPM_Estimated maternal mortality ratio
SPM_Population (historical)
SRB_Estimated maternal mortality ratio
SRB_Population (historical)
SSD_Estimated maternal mortality ratio
SSD_Population (historical)
STP_Estimated maternal mortality ratio
STP_Population (historical)
SUR_Estimated maternal mortality ratio
SUR_Population (historical)
SVK_Estimated maternal mortality ratio
SVK_Population (historical)
SVN_Estimated maternal mortality ratio
SVN_Population (historical)
SWE_Estimated maternal mortality ratio
SWE_Population (historical)
SWZ_Estimated maternal mortality ratio
SWZ_Population (historical)
SXM_Estimated maternal mortality ratio
SXM_Population (historical)
SYC_Estimated maternal mortality ratio
SYC_Population (historical)
SYR_Estimated maternal mortality ratio
SYR_Population (historical)
Serbia and Montenegro_Estimated maternal mortality ratio
Serbia and Montenegro_Population (historical)
South America_Estimated maternal mortality ratio
South America_Population (historical)
TCA_Estimated maternal mortality ratio
TCA_Population (historical)
TCD_Estimated maternal mortality ratio
TCD_Population (historical)
TGO_Estimated maternal mortality ratio
TGO_Population (historical)
THA_Estimated maternal mortality ratio
THA_Population (historical)
TJK_Estimated maternal mortality ratio
TJK_Population (historical)
TKL_Estimated maternal mortality ratio
TKL_Population (historical)
TKM_Estimated maternal mortality ratio
TKM_Population (historical)
TLS_Estimated maternal mortality ratio
TLS_Population (historical)
TON_Estimated maternal mortality ratio
TON_Population (historical)
TTO_Estimated maternal mortality ratio
TTO_Population (historical)
TUN_Estimated maternal mortality ratio
TUN_Population (historical)
TUR_Estimated maternal mortality ratio
TUR_Population (historical)
TUV_Estimated maternal mortality ratio
TUV_Population (historical)
TWN_Estimated maternal mortality ratio
TWN_Population (historical)
TZA_Estimated maternal mortality ratio
TZA_Population (historical)
UGA_Estimated maternal mortality ratio
UGA_Population (historical)
UKR_Estimated maternal mortality ratio
UKR_Population (historical)
URY_Estimated maternal mortality ratio
URY_Population (historical)
USA_Estimated maternal mortality ratio
USA_Population (historical)
USSR_Estimated maternal mortality ratio
USSR_Population (historical)
UZB_Estimated maternal mortality ratio
UZB_Population (historical)
Upper-middle-income countries_Estimated maternal mortality ratio
Upper-middle-income countries_Population (historical)
VAT_Estimated maternal mortality ratio
VAT_Population (historical)
VCT_Estimated maternal mortality ratio
VCT_Population (historical)
VEN_Estimated maternal mortality ratio
VEN_Population (historical)
VGB_Estimated maternal mortality ratio
VGB_Population (historical)
VIR_Estimated maternal mortality ratio
VIR_Population (historical)
VNM_Estimated maternal mortality ratio
VNM_Population (historical)
VUT_Estimated maternal mortality ratio
VUT_Population (historical)
WLF_Estimated maternal mortality ratio
WLF_Population (historical)
WSM_Estimated maternal mortality ratio
WSM_Population (historical)
West Germany_Estimated maternal mortality ratio
West Germany_Population (historical)
World_Estimated maternal mortality ratio
World_Population (historical)
XKX_Estimated maternal mortality ratio
XKX_Population (historical)
YEM_Estimated maternal mortality ratio
YEM_Population (historical)
Yugoslavia_Estimated maternal mortality ratio
Yugoslavia_Population (historical)
ZAF_Estimated maternal mortality ratio
ZAF_Population (historical)
ZMB_Estimated maternal mortality ratio
ZMB_Population (historical)
ZWE_Estimated maternal mortality ratio
ZWE_Population (historical)
