Country Code,GDP_per_Capita_2019
IDX,1211.19958978076
NPL,1203.14294706401
BEN,1130.82135304977
SYR,1109.53926036049
LDC,1097.76355049254
LSO,1082.05706777516
TZA,1063.32250976563
GIN,1031.34146480732
HPC,976.312547557857
TJK,871.022372934846
SLE,843.71251730417
ETH,828.70897229725
TGO,826.260654099894
UGA,822.057058189153
MLI,820.197390833912
RWA,810.051420243718
GNB,807.359903965493
BFA,764.853077774946
GMB,738.186751987483
SDN,709.975280761719
TCD,678.142035723965
LIC,676.709800653852
LBR,658.164180770507
YEM,623.376164898164
MWI,580.889816066776
NER,561.691304349698
COD,557.044161335917
SOM,539.893931565468
MOZ,519.09255091362
MDG,499.818837622534
AFG,496.6025042585
CAF,449.228467602439
BDI,210.236494521532
