country_ISO3,v2x_libdem,v2elfemrst,v2elgvsuflvl,v2fsuffrage,v2pepwrses,v2pepwrgen,v2clgencl,v2peapsgen,v2peapsgeo,v2cacamps,v2x_neopat,v2xnp_client,v2xnp_regcorr,v2x_civlib,v2x_clphy,v2x_clpol,v2x_clpriv,v2xpe_exlecon,v2xpe_exlgender,v2xpe_exlgeo,v2xpe_exlpol,v2xpe_exlsocgr,v2x_corr,v2x_gender,v2x_gencl,v2x_gencs,v2x_genpp,v2x_rule,v2smpolsoc,e_v2x_civlib_5C,e_v2x_clpol_5C,e_v2x_clpriv_5C,e_v2x_corr_5C,e_v2x_gencl_5C,e_v2x_gencs_5C,e_v2x_gender_5C,e_v2x_genpp_5C,e_v2x_libdem_5C,e_v2x_liberal_5C,e_wbgi_gee,e_wbgi_pve,e_peedgini,e_miferrat,e_pechmor,e_pematmor,e_wb_pop
KHM,0.065,,,100.0,-1.09,0.536,0.667,-0.356,-0.276,0.538,0.927,0.772,0.927,0.353,0.411,0.208,0.43,0.825,0.568,0.636,0.736,0.674,0.895,0.589,0.38,0.518,0.862,0.069,-0.591,0.25,0.25,0.5,1.0,0.25,0.5,0.5,1.0,0.0,0.0,-0.452,-0.209,,2.7,25.94,,16396860.0
IDN,0.415,,,100.0,-0.022,0.902,1.623,-0.026,1.125,0.629,0.447,0.661,0.743,0.702,0.708,0.685,0.72,0.614,0.368,0.32,0.424,0.565,0.765,0.707,0.668,0.571,0.893,0.466,-0.206,0.75,0.75,0.75,0.75,0.75,0.5,0.75,1.0,0.5,0.75,0.317,-0.462,,2.19,23.32,,271857970.0
MOZ,0.229,,,100.0,1.061,0.988,1.605,-0.815,-0.68,-0.892,0.571,0.607,0.575,0.616,0.486,0.666,0.702,0.589,0.334,0.665,0.609,0.504,0.548,0.752,0.52,0.758,0.991,0.415,-0.585,0.75,0.75,0.75,0.5,0.5,0.75,0.75,1.0,0.25,0.5,-0.77,-1.282,,4.96,68.1,,31178239.0
NPL,0.478,,,100.0,1.118,1.114,1.483,-0.808,-0.948,1.102,0.377,0.405,0.634,0.765,0.739,0.844,0.723,0.282,0.292,0.553,0.239,0.362,0.667,0.764,0.59,0.728,0.974,0.57,-1.692,0.75,1.0,0.75,0.75,0.5,0.75,0.75,1.0,0.5,0.75,-0.986,-0.18,,2.05,29.79,,29348627.0
NIC,0.045,,,100.0,-0.875,0.626,-0.123,-0.833,-0.415,2.095,0.981,0.714,0.938,0.229,0.121,0.158,0.391,0.626,0.62,0.637,0.866,0.787,0.938,0.633,0.406,0.481,0.994,0.018,-1.841,0.25,0.0,0.25,1.0,0.5,0.5,0.75,1.0,0.0,0.0,-0.679,-0.586,,2.3,17.34,,6755895.0
NER,0.404,2.0,8.0,100.0,0.812,1.277,1.439,-0.323,-1.258,-0.976,0.46,0.604,0.509,0.774,0.835,0.831,0.67,0.331,0.306,0.578,0.324,0.289,0.57,0.73,0.636,0.615,0.953,0.562,-0.357,0.75,1.0,0.75,0.5,0.75,0.75,0.75,1.0,0.5,0.75,-0.661,-1.667,,6.37,77.7,,24333639.0
ZMB,0.293,,,100.0,0.645,0.777,1.926,-0.581,-0.714,0.458,0.419,0.585,0.438,0.715,0.74,0.629,0.779,0.521,0.363,0.574,0.685,0.672,0.44,0.768,0.653,0.841,0.832,0.449,-1.69,0.75,0.75,0.75,0.5,0.75,1.0,0.75,1.0,0.25,0.75,-0.825,-0.131,,4.32,54.5,,18927715.0
ZWE,0.192,,,100.0,-0.99,0.869,0.514,-0.782,-0.883,2.499,0.755,0.68,0.783,0.416,0.117,0.407,0.727,0.392,0.372,0.55,0.802,0.583,0.795,0.806,0.761,0.704,0.962,0.233,-2.001,0.5,0.5,0.75,0.75,0.75,0.75,1.0,1.0,0.0,0.5,-1.356,-1.053,,3.75,43.06,,15669666.0
GIN,0.109,2.0,8.0,100.0,0.131,0.407,-0.145,-0.882,-0.781,2.401,0.851,0.663,0.863,0.351,0.287,0.426,0.338,0.675,0.772,0.648,0.78,0.685,0.853,0.472,0.206,0.419,0.779,0.126,-1.026,0.25,0.5,0.25,1.0,0.25,0.5,0.5,0.75,0.0,0.25,-0.97,-0.669,,4.49,94.26,,13205153.0
CIV,0.265,2.0,8.0,100.0,0.502,0.492,1.368,0.101,-0.638,1.327,0.665,0.537,0.647,0.714,0.66,0.743,0.753,0.462,0.294,0.572,0.357,0.364,0.598,0.617,0.652,0.514,0.708,0.411,-1.639,0.75,0.75,0.75,0.5,0.75,0.5,0.75,0.75,0.25,0.5,-0.54,-1.033,,4.46,77.06,,26811790.0
