country_ISO3,v2x_libdem,v2elfemrst,v2elgvsuflvl,v2fsuffrage,v2pepwrses,v2pepwrgen,v2clgencl,v2peapsgen,v2peapsgeo,v2cacamps,v2x_neopat,v2xnp_client,v2xnp_regcorr,v2x_civlib,v2x_clphy,v2x_clpol,v2x_clpriv,v2xpe_exlecon,v2xpe_exlgender,v2xpe_exlgeo,v2xpe_exlpol,v2xpe_exlsocgr,v2x_corr,v2x_gender,v2x_gencl,v2x_gencs,v2x_genpp,v2x_rule,v2smpolsoc,e_v2x_civlib_5C,e_v2x_clpol_5C,e_v2x_clpriv_5C,e_v2x_corr_5C,e_v2x_gencl_5C,e_v2x_gencs_5C,e_v2x_gender_5C,e_v2x_genpp_5C,e_v2x_libdem_5C,e_v2x_liberal_5C,e_wbgi_gee,e_wbgi_pve,e_peedgini,e_miferrat,e_pechmor,e_pematmor,e_wb_pop
MKD,0.404,2.0,8.0,100.0,-0.422,0.761,1.471,1.904,0.762,1.145,0.595,0.622,0.692,0.818,0.852,0.815,0.801,0.202,0.182,0.234,0.282,0.128,0.668,0.821,0.738,0.766,0.982,0.433,-1.477,1.0,1.0,1.0,0.75,0.75,0.75,1.0,1.0,0.5,0.75,0.028,0.112,,1.63,9.69,,2072531.0
MYS,0.307,,,100.0,0.85,1.013,0.922,0.897,0.657,1.853,0.448,0.475,0.508,0.72,0.828,0.656,0.689,0.405,0.44,0.244,0.343,0.488,0.415,0.798,0.764,0.822,0.838,0.637,0.504,0.75,0.75,0.75,0.5,0.75,1.0,0.75,1.0,0.25,0.75,1.022,0.124,,1.68,7.38,,33199993.0
MLT,0.624,,,100.0,1.417,2.034,1.965,2.555,2.058,1.55,0.217,0.238,0.262,0.893,0.918,0.879,0.894,0.057,0.084,0.079,0.267,0.075,0.194,0.854,0.902,0.759,0.922,0.831,-1.092,1.0,1.0,1.0,0.0,1.0,0.75,1.0,1.0,0.75,0.75,0.994,0.998,,1.13,6.61,,515332.0
MUS,0.451,,,100.0,0.332,1.091,2.109,2.601,2.422,0.795,0.307,0.412,0.625,0.816,0.831,0.796,0.835,0.194,0.134,0.041,0.481,0.268,0.49,0.827,0.801,0.813,0.901,0.64,0.258,1.0,0.75,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.75,0.851,0.873,,1.39,14.75,,1266014.0
MNE,0.378,2.0,8.0,100.0,1.349,0.622,0.921,0.689,1.292,1.656,0.39,0.666,0.578,0.786,0.868,0.816,0.687,0.177,0.342,0.196,0.416,0.246,0.514,0.839,0.786,0.858,0.901,0.727,-2.41,0.75,1.0,0.75,0.5,0.75,1.0,1.0,1.0,0.25,0.75,-0.107,-0.061,,1.83,2.38,,621306.0
NZL,0.829,2.0,8.0,100.0,0.864,3.184,2.908,2.378,1.843,-2.325,0.016,0.045,0.009,0.952,0.987,0.962,0.917,0.098,0.044,0.089,0.037,0.078,0.009,0.941,0.937,0.904,1.0,0.992,1.639,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.539,1.468,,1.63,5.54,,5090200.0
NOR,0.832,,,100.0,2.56,3.607,2.681,2.906,1.952,-1.501,0.015,0.022,0.008,0.925,0.986,0.953,0.85,0.014,0.021,0.061,0.013,0.027,0.011,0.9,0.816,0.902,1.0,0.985,1.05,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.888,1.222,,1.48,2.36,,5379475.0
OMN,0.138,,,100.0,-0.734,-0.607,-0.56,0.555,1.607,-2.997,0.539,0.494,0.27,0.438,0.72,0.153,0.441,0.426,0.74,0.379,0.296,0.543,0.252,0.372,0.475,0.317,0.32,0.629,1.528,0.5,0.0,0.5,0.25,0.5,0.25,0.25,0.25,0.0,0.5,0.105,0.42,,2.64,10.43,,4543399.0
PRY,0.429,,,100.0,-0.197,0.441,1.336,-0.182,-0.672,-0.904,0.55,0.713,0.752,0.807,0.857,0.805,0.772,0.658,0.501,0.589,0.525,0.717,0.768,0.66,0.66,0.571,0.76,0.432,0.656,1.0,1.0,0.75,0.75,0.75,0.5,0.75,0.75,0.5,0.75,-0.565,0.017,,2.5,19.44,,6618695.0
ROU,0.665,2.0,8.0,100.0,0.251,1.62,2.778,1.733,1.064,0.346,0.214,0.292,0.249,0.889,0.951,0.896,0.835,0.21,0.092,0.162,0.117,0.123,0.35,0.858,0.796,0.866,0.93,0.745,-0.591,1.0,1.0,1.0,0.25,0.75,1.0,1.0,1.0,0.75,1.0,-0.287,0.509,,1.73,6.87,,19265250.0
STP,0.581,,,100.0,0.25,1.563,1.567,0.604,-0.792,-1.969,0.27,0.439,0.321,0.905,0.951,0.87,0.91,0.505,0.375,0.607,0.325,0.452,0.279,0.859,0.868,0.779,0.956,0.737,1.269,1.0,1.0,1.0,0.25,1.0,0.75,1.0,1.0,0.5,1.0,-0.714,0.49,,3.83,29.29,,218641.0
SAU,0.045,,,0.0,-1.13,-1.887,-0.579,0.269,0.566,-1.304,0.758,0.566,0.48,0.149,0.187,0.071,0.176,0.516,0.812,0.327,0.142,0.672,0.393,0.278,0.191,0.21,0.414,0.33,2.068,0.0,0.0,0.0,0.25,0.0,0.25,0.25,0.5,0.0,0.0,0.114,-0.651,,2.27,6.49,,35997107.0
SRB,0.242,2.0,8.0,100.0,0.473,1.357,1.972,1.233,1.476,0.188,0.664,0.804,0.689,0.779,0.882,0.629,0.836,0.2,0.177,0.149,0.241,0.23,0.672,0.876,0.817,0.847,0.992,0.468,-1.314,0.75,0.75,1.0,0.75,1.0,1.0,1.0,1.0,0.25,0.5,-0.043,-0.171,,1.49,5.16,,6899126.0
SYC,0.579,2.0,8.0,100.0,0.661,1.044,2.424,1.269,2.004,0.388,0.11,0.237,0.067,0.854,0.901,0.848,0.829,0.178,0.181,0.059,0.273,0.176,0.076,0.849,0.932,0.721,0.92,0.948,1.565,1.0,1.0,1.0,0.0,1.0,0.75,1.0,1.0,0.5,1.0,0.679,0.702,,2.23,13.96,,98462.0
SGP,0.325,2.0,8.0,100.0,0.894,0.917,2.385,2.556,2.841,-0.771,0.151,0.205,0.008,0.71,0.936,0.507,0.704,0.049,0.09,0.032,0.14,0.099,0.007,0.809,0.772,0.725,0.953,0.968,1.332,0.75,0.5,0.75,0.0,0.75,0.75,1.0,1.0,0.25,0.75,2.285,1.438,,0.94,2.61,,5685807.0
SVK,0.76,2.0,8.0,100.0,1.211,1.217,2.503,1.716,1.26,-0.328,0.097,0.135,0.185,0.892,0.918,0.928,0.841,0.178,0.086,0.104,0.06,0.113,0.211,0.879,0.912,0.823,0.93,0.886,-1.157,1.0,1.0,1.0,0.25,1.0,1.0,1.0,1.0,0.75,1.0,0.502,0.634,,1.59,5.27,,5458827.0
SVN,0.668,,,100.0,1.232,1.395,1.886,2.553,2.028,2.356,0.139,0.194,0.179,0.87,0.964,0.819,0.84,0.128,0.108,0.053,0.149,0.128,0.136,0.916,0.902,0.904,0.962,0.892,-2.136,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.75,1.0,1.122,0.701,,1.59,2.07,,2102419.0
SLB,0.464,,,100.0,-0.07,-0.437,-1.164,-1.312,-1.491,-1.299,0.455,0.747,0.683,0.827,0.889,0.859,0.753,0.509,0.836,0.764,0.215,0.408,0.644,0.595,0.616,0.732,0.463,0.596,1.132,1.0,1.0,0.75,0.75,0.75,0.75,0.5,0.5,0.5,0.75,-0.692,0.562,,3.75,19.02,,691191.0
VUT,0.653,2.0,8.0,100.0,1.431,0.588,0.719,0.063,-0.076,-1.859,0.205,0.437,0.38,0.865,0.918,0.901,0.79,0.415,0.427,0.419,0.13,0.184,0.367,0.613,0.69,0.644,0.506,0.806,0.982,1.0,1.0,0.75,0.25,0.75,0.75,0.75,0.5,0.75,1.0,-0.383,0.882,,3.74,24.91,,311685.0
ARE,0.089,,,36.0,-0.745,-0.649,1.112,1.38,1.682,-1.464,0.631,0.446,0.147,0.392,0.753,0.11,0.308,0.38,0.354,0.147,0.561,0.705,0.116,0.584,0.319,0.442,0.974,0.707,2.271,0.25,0.0,0.25,0.0,0.25,0.5,0.5,1.0,0.0,0.25,1.286,0.593,,1.29,7.16,,9287289.0
HUN,0.358,,,100.0,0.59,1.09,2.623,1.527,1.872,2.453,0.477,0.52,0.673,0.827,0.977,0.653,0.86,0.144,0.049,0.077,0.235,0.216,0.48,0.85,0.877,0.874,0.818,0.64,-2.871,1.0,0.75,1.0,0.5,1.0,1.0,1.0,1.0,0.25,0.75,0.539,0.837,,1.58,3.99,,9750149.0
