,Births_per_woman_2019,Population_Density_2010,GDP_per_capita_2022,beds_per_1000,Maternal_mortality_ratio _2019,Population_2019,Adolescent_Birth_Rate_2019,GGHD_as_CHE_2019,VDem_2015,WBregion_2015,sample_polity_2015,Capacity_2015,Capacity_sd_2015,censusfreq_2015,v2clrspct_2015,v2stfisccap_2015,v2terr_2015,infcap_2015,irai_qbfm_2015,irai_qpa_2015,irai_erm_2015,milexpercap_2015,milpercap_2015,policecap_2015,StateHist50s_2015,bti_mo_2015,wbstat_2015,tax_inc_tax_2015,tax_trade_tax_2015,taxrev_gdp_2015,GDP_2019,GDP_per_Capita_2019,Gini_2019,Share_of_Pop_in_Extreme Poverty_2019,Urban_population_percent_2019
FJI,2.519,47.07170224,,,38.0,914899.0,31.05,62.0,162.0,2.0,1.0,0.4424999952316284,0.3296479880809784,1.4583333730697632,0.48,1.253,2.189231634140014,,,,,3.913279125974661,1.6152856349945068,,0.4124031364917755,,0.6111113429069519,0.2595218467712402,0.2279402542114257,0.254816378,5444407214.31758,5950.82868635508,30.7,1.3182689,56.75
FRA,1.86,118.4950517,39065.71,6.0,8.0,67382061.0,7.5,75.0,76.0,3.0,1.0,1.6419999599456787,0.3443182110786438,1.09375,2.144,2.211,1.632852554321289,0.4958139955997467,,,,6.564175194,1.7497321367263794,1.4643419981002808,0.9930689930915833,,,0.4008972930908203,0.001244842,0.2666865254756394,2722793515171.76,40408.2848574751,31.2,0.051448993,80.709
FRO,2.4091,35.04172662,,,,51795.0,6.04,,,,,,,,,,,,,,,,,,,,,,,,3266432734.22819,63064.6343127366,,,
FSM,2.801,158.5714286,,,65.0,110282.0,,15.0,,,,,,,,,,,,,,,,,,,,,,,394000000.0,3572.65918282222,,,22.812
GAB,3.615,5.840804129,15720.901,,225.0,2267706.0,100.07,60.0,116.0,8.0,1.0,-0.208900005,0.3123475909233093,0.9589040875434875,1.527,0.062,1.0013450384140017,,,,,4.482721886639308,1.4906481504440308,,0.472868263721466,,0.3999996483325958,0.3808139419555664,0.3333333206176758,0.121483826053054,16874405465.391,7441.1786472281,,,89.741
GBR,1.63,257.2314306,38406.53,2.43,9.0,66836327.0,11.06,80.0,101.0,3.0,1.0,1.7769999504089355,0.3456529080867767,1.0,3.073,0.983,2.538905143737793,0.5552448034286499,,,,6.707872409568624,1.197925090789795,1.1925994157791138,0.9770306944847108,,,0.4644518661499023,0.0003227541595697403,0.2481692345974879,2851407164907.81,42662.5353740311,32.8,0.49803847,83.652
GEO,2.011,77.88935932,14360.359,4.94,26.0,3720161.0,29.3,41.0,118.0,3.0,1.0,0.9021000266075134,0.3158876895904541,0.8641975522041321,1.78,1.848,0.8535759449005127,,,,,4.323186818957373,2.011345863342285,,0.5810248851776123,8.0,0.8888890147209167,0.4055025863647461,0.008650821,0.2522609900491245,17638337116.9126,4741.2832715876,35.9,4.8486285,59.039
GHA,3.683,107.1987343,4242.4106,,244.0,31258945.0,,61.0,7.0,8.0,1.0,0.2549999952316284,0.2754541933536529,0.9210526943206788,-1.103,0.714,2.014090776443481,,4.0,3.0,3.0,2.059476115069016,0.4424839913845062,,0.6810241937637329,14.0,0.6555556654930115,0.3683251266565528,0.1678255653381347,0.240547476696768,68337969247.7067,2186.18924111824,,,56.707
GIB,1.863,2924.4,,,,35494.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0
GIN,4.576,40.62347387,1809.2666,,556.0,13034346.0,132.56,23.0,63.0,8.0,1.0,-0.240099996,0.2832950949668884,1.09375,-0.199,-0.073,1.02577006816864,,3.0,2.0,1.0,3.013953862754325,0.7304035425186157,,0.6298695802688599,13.0,0.5333333015441895,,0.2593647575378418,0.1391469142690315,13442861496.4454,1031.34146480732,,,36.5
GMB,4.869,172.9,2010.5322,1.11,474.0,2456844.0,,41.0,117.0,8.0,1.0,-0.1567,0.3071424961090088,0.9589040875434875,-1.488,-0.788,2.4977054595947266,,3.0,2.0,2.0,2.06051297636034,0.3246417045593261,,0.6371210813522339,,0.6555556654930115,,,,1813609692.49994,738.186751987483,,,61.931
GNB,4.172,53.87624467,1625.3876,,710.0,1967696.0,,6.0,119.0,8.0,1.0,-0.860300004,0.3107351064682007,1.25,-0.837,-1.359,1.1196569204330444,,1.0,1.0,0.0,2.3802030338013624,1.2702051401138306,,0.5472761392593384,,0.4444443583488464,,,0.1005714211440445,1588638853.59328,807.359903965493,,,43.777
GNQ,4.429,24.95543672,22707.22,,216.0,1670177.0,,20.0,160.0,8.0,1.0,-0.520699978,0.3366163969039917,0.8045976758003235,-2.293,0.102,1.5717867612838743,,,,,4.774588643208089,0.755925179,,0.5008919835090637,,0.4222223162651062,0.6,0.063157897,0.034888243,11364133549.7478,6804.14923073888,,,72.627
GRC,1.34,87.78898371,25283.906,,6.0,10721582.0,8.41,49.0,164.0,3.0,1.0,1.4179999828338623,0.3484827876091003,1.2068965435028076,1.05,0.268,3.719016551971436,0.5403871536254883,,,,6.115875600203442,2.693648338317871,1.7468565702438354,0.864222527,,,0.3193675422668457,0.0,0.2559349334365413,207305649887.019,19335.3602002969,33.1,0.6895518,79.388
GRD,2.042,305.8823529,,,20.0,115981.0,,41.0,,4.0,0.0,,,1.4893616437911987,,,,,3.0,3.0,2.0,,,,0.5810030102729797,,0.511111319,0.1987881088256836,0.3377638626098633,0.1925479864508844,1213485185.18519,10462.7929159533,,,36.396
GRL,2.08,0.137736631,,,,56225.0,36.95,,,,,,,,,,,,,,,,,,,,,,,,2997309971.87623,53309.2035905065,,,87.052
