Country Code,GDP_per_capita
LMC,2152.16187917576
LMY,4791.42088334726
LSO,1082.05706777516
LTE,9991.40401633086
LTU,19727.7607453736
LUX,112726.439672814
LVA,17294.9751600969
MAC,81967.699172769
MAF,19033.0649634889
MAR,3508.09765625
MCO,193746.785647412
MDA,4405.33418162155
MDG,499.818837622534
MDV,11740.2724029785
MEA,7590.75451796732
MEX,10369.5553568761
MHL,5292.33985502306
MIC,5267.9276273194
MKD,6718.85826635458
MLI,820.197390833912
MLT,32412.2697818499
MMR,1425.98954211903
MNA,3594.10876400589
MNE,8909.6538759126
MNG,4347.54610314873
MNP,24496.6652122421
MOZ,519.09255091362
MRT,1767.072710621
MUS,11403.2527870674
MWI,580.889816066776
MYS,10920.191763972
NAC,63634.786103642
NAM,4731.9210318831
NCL,33411.3358835672
NER,561.691304349698
NGA,2265.15520863056
NIC,1958.62132892996
NLD,53554.9007491475
NOR,76430.5889473338
NPL,1203.14294706401
NRU,10776.8284610316
NZL,42747.2099299966
OED,39764.8216112273
OMN,19180.1864152801
OSS,14425.2470146907
PAK,1390.41690981745
PAN,16477.9066285687
PER,7037.00803692604
PHL,3400.78949772302
PLW,15841.1935329812
PNG,2575.77274251891
POL,15874.5220531254
PRE,1469.63291800162
PRI,32916.866800639
PRK,
PRT,23343.3628970034
PRY,5821.18199548637
PSE,3656.85827137011
PSS,4170.32118081193
PST,45916.4122663126
PYF,21582.5892046801
QAT,66841.3013472693
ROU,12992.0326104674
RUS,11447.701171875
RWA,810.051420243718
SAS,1952.01340084598
SAU,27892.8421521179
SDN,709.975280761719
SEN,1431.18128932159
SGP,66081.7199235165
SLB,2223.66502559565
SLE,843.71251730417
SLV,4320.11671534627
SMR,46627.0122356944
SOM,539.893931565468
SRB,7755.632986437
SSA,1610.17142040812
SSD,
SSF,1611.67363549653
SST,12739.8388742478
STP,1935.2931816596
SUR,6629.66775248603
SVK,19406.0589683582
SVN,25814.1687167572
SWE,51773.0464558993
SWZ,3894.32951592818
SXM,34861.469528968
SYC,19141.5118743615
SYR,1109.53926036049
TCA,27273.4376992357
TCD,678.142035723965
TEA,8245.10161071216
TEC,9027.50709505223
TGO,826.260654099894
THA,7605.69657797759
TJK,871.022372934846
TKM,6648.0348960628
TLA,8654.86209465818
TLS,1562.36458881813
TMN,3593.38666747385
TON,4676.84790348236
TSA,1952.01340084598
TSS,1611.67363549653
TTO,17431.0269266696
TUN,3528.87213306798
TUR,9215.44049888114
TUV,5115.13075950206
TZA,1063.32250976563
UGA,822.057058189153
UKR,3619.86157226563
UMC,8551.4409621973
URY,18315.7352857194
USA,65604.6815198734
UZB,2041.38480729431
VCT,8743.33202133753
VEN,
VGB,
VIR,38633.5298915336
VNM,3440.90025375434
VUT,3207.44650452083
WLD,11334.8430932207
WSM,4351.94234943706
XKX,4415.99716107514
YEM,623.376164898164
ZAF,6533.71121032856
ZMB,1258.98619844462
ZWE,1684.02790388182
