iso3,VDem_2015,WBregion_2015,sample_polity_2015,Capacity_2015,Capacity_sd_2015,censusfreq_2015,v2clrspct_2015,v2stfisccap_2015,v2terr_2015,infcap_2015,irai_qbfm_2015,irai_qpa_2015,irai_erm_2015,milexpercap_2015,milpercap_2015,policecap_2015,StateHist50s_2015,bti_mo_2015,wbstat_2015,tax_inc_tax_2015,tax_trade_tax_2015,taxrev_gdp_2015
NZL,185,2,1,2.234999895095825,0.34878790378570557,1.7073169946670532,2.628,2.294,3.7190165519714355,0.5701025128364563,,,,6.045540195405914,1.0782487392425537,,0.5542635917663574,,,0.5531219100952148,0.028125879764556886,0.32994628414836735
NIC,59,4,1,0.13519999384880066,0.2682301998138428,0.7142857313156128,-0.122,-1.096,0.9180742502212524,0.577134371,4,2,3,2.8271569772260503,1.074407696723938,,0.77233994,12,0.699999988,0.38427272796630857,0.041353111,0.1781091857955144
NER,60,8,1,0.048149999,0.28287288546562195,0.6930692791938782,0.926,0.218,0.44605156779289246,,4,2,2,,0.4285013973712921,,0.7670788764953613,11,0.711111307,0.25883588705205623,0.1318586254119873,0.1618400001525879
NGA,45,8,1,-0.389999986,0.299930215,0.43478259444236755,-0.177,0.409,1.273445487,,3,1,1,2.517959421246088,0.7439039349555969,,0.7149775624275208,6,0.7111110091209412,,,
NOR,186,3,1,2.5269999504089355,0.34610649943351746,1.4893616437911987,2.981,2.347,3.7190165519714355,0.8051890730857849,,,,7.020503722012746,1.7575538158416748,,0.8357422351837158,,,0.5059385299682617,0.004523145,0.2541734644582692
OMN,187,5,1,1.2020000219345093,0.3540123999118805,0.48275864124298096,0.632,0.222,2.4007837772369385,,,,,7.476697033755802,2.486063003540039,,0.9338986873626709,18,,,,
PAK,29,7,1,0.012369999662041664,0.2969217896461487,0.9090909361839294,-1.681,1.199,1.1749868392944336,,4,3,1,3.8826696664257145,1.7391399145126343,,0.772068202,5,0.7555556297302246,,,
PAN,92,4,1,0.4129999876022339,0.2918302118778229,0.9210526943206787,1.452,0.434,1.0407319068908691,,,,,0,1.880421757698059,,0.7365332245826721,15,0.7888889908790588,0.5051546478271485,0.07216495,0.097
PNG,93,2,1,-0.250499994,0.2785758972167969,0.9090909361839294,-0.576,-0.249,1.304685354232788,,3,2,2,2.5888303633363283,0.21053889393806458,,0.33139535784721375,9,0.45555564761161804,0.6746794891357422,0.064674907,0.1479699859414963
PRY,189,4,1,0.12219999730587006,0.2888574004173279,1,-0.082,0.839,0.9106116890907288,0.5849602222442627,,,,4.0739621925750225,1.5696359872817993,1.2369389533996582,0.8830298185348511,10,0.7222223877906799,0.21510269165039062,0.091828508,0.1282532493879019
PER,30,4,1,0.7907000184059143,0.2843289077281952,0.9090909361839294,0.883,0.138,1.1650469303131104,0.7944921851158142,,,,4.697762901666944,1.8221758604049683,1.502607822418213,0.8838841319084167,10,0.9333333373069763,0.38530303955078127,0.019678369760513306,0.1471579226541407
PHL,46,2,1,0.7146000266075134,0.29026728868484497,2.058823585510254,0.075,1.967,1.4360082149505615,,,,,3.516465172632296,0.9634606242179871,,0.7033475041389465,12,0.8222219944000244,0.4661044692993164,0.20244508743286133,0.13642641435109917
POL,17,3,1,1.4279999732971191,0.2857491075992584,1.2068965435028076,1.295,2.288,1.8339595794677734,0.7944921851158142,,,,5.596630472638118,1.7121145725250244,1.2700936794281006,0.7398378252983093,18,0.8555556535720825,0.32888465881347656,0,0.19795618311051202
PRT,21,3,1,1.7710000276565552,0.3463701903820038,1,1.754,2.285,3.0591042041778564,0.5998179316520691,,,,5.843183679989609,2.0916824340820313,1.7096178531646729,0.9860266447067261,,,0.45670276641845703,4.22901997808367e-6,0.22916500501281054
QAT,94,5,1,0.9509000182151794,0.37861940264701843,1.7073169946670532,0.262,-0.136,1.9188761711120605,,,,,,1.722609519958496,,0.676313579,18,,,,
ROU,190,3,1,1.0160000324249268,0.30894601345062256,1.029411792755127,0.316,1.693,2.6520698070526123,0.726930559,,,,4.871482091434846,2.1457250118255615,1.3030749559402466,0.7155935168266296,,0.8222223520278931,0.3113029670715332,0.001771879,0.199208132
RUS,11,3,1,0.6463000178337097,0.28502780199050903,0.9459459781646729,-0.926,-0.311,2.5295772552490234,0.7417882680892944,,,,6.129278136,2.4227583408355713,1.7524479627609253,0.88012296,14,0.8111112713813782,0.3666044998168945,0.2135416603088379,0.18639773358035192
RWA,129,8,1,0.75279998779296875,0.27736330032348633,0.7142857313156128,2.113,0.12,3.0902323722839355,,5,3,3,2.3134469330946974,1.4057364463806152,,0.8309174180030823,16,0.7333336472511292,0.40921253204345703,0.078624191,0.13727592409550035
WSM,,2,0,,,2,,,,,5,4,4,,,,,,0.5333336591720581,0.242939453,0.11328981399536132,0.22679442857362753
SAU,197,5,1,0.40779998898506165,0.3202139139175415,0.6481481194496155,-0.205,-0.268,2.376030921936035,0.5998179316520691,,,,7.919287117,2.1893415451049805,,0.7388514280319214,12,,0.17843784332275392,0.26370859146118164,0.01677516
SEN,31,8,1,0.27059999108314514,0.27486079931259155,0.7368420958518982,0.945,-0.691,1.358579158782959,,4,3,3,2.7559507583859126,0.8223561644554138,,0.6518498063087463,12,0.7555556297302246,0.2726315116882324,0.1424836826324463,0.19770627059599188
SYC,199,8,0,,,1.25,0.608,0.994,1.6448535919189453,,,,,5.255298320461084,2.28684926,,0.5176572203636169,,0.6555553674697876,0.16275598526000976,0.06094069,0.2998746156115346
SLE,95,8,1,-0.070210002,0.2735975980758667,0.875,0.133,-0.874,2.108358383178711,,4,2,1,1.8670936098848043,0.7816979885101318,,0.4413953721523285,14,0.633333683,0.43028846740722654,0.15769230842590332,0.090209392
SGP,200,2,1,1.6720000505447388,0.3230274021625519,1,2.262,1.202,2.713383436203003,,,,,7.425976525129952,3.310330390930176,0.9848652482032776,0.6995847225189209,18,,0.44728675842285154,0,0.1363580227249894
SVK,201,3,1,1.3969999551773071,0.29253679513931274,1.2068965435028076,0.797,2.141,3.7190165519714355,,,,,5.206096281526911,1.3650590181350708,1.6347662210464478,0.5836842656135559,18,0.8666666150093079,0.37912578582763673,1.5467629418708385e-6,0.1807596395801032
SVN,202,3,1,1.597000002861023,0.32617971301078796,2.1212120056152344,1.837,1.652,2.4323790073394775,,,,,5.270419425789125,1.9978410005569458,1.4590833187103271,0.5616365671157837,18,,0.3038651657104492,0,0.21791311900440757
SLB,203,2,1,-0.70569998,0.32964810729026794,0.14084507524967194,-0.154,-0.858,0.9394494891166687,,2,0,1,,,,,,0.4888886511325836,0.3585391616821289,0.4107589340209961,0.291555273
SOM,130,8,1,-2.095999956,0.33312278985977173,0.2857142984867096,-1.415,-1.257,-0.15731068,,,,,1.4767086214875353,0.8899768590927124,,0.612989068,0,0.20000000298023224,,,
ZAF,8,8,1,0.8833000063896179,0.28821319341659546,1.3461538553237915,0.757,2.149,1.6448535919189453,,,,,4.158749552,0.9095548391342163,,0.6370657682418823,12,0.8111109733581543,0.5194963836669921,0.039232401847839354,0.2910345217569698
ESP,96,3,1,2.003000020980835,0.348742813,1,2.64,2.296,1.9953932762145996,1,,,,5.788242477868844,1.664713740348816,1.543729543685913,0.992060661,,,0.4477797317504883,5.336671695113182e-4,0.2183114130298362
LKA,131,7,1,0.33709999918937683,0.2715862989425659,0.9090909361839294,-0.561,-0.82,2.575829267501831,,5,2,2,4.599400774,2.616236448287964,,0.6591776609420776,16,0.7333333492279053,0.19369104385375976,0.18015371322631835,0.12122461649601636
LCA,,4,0,,,1.0144927501678467,,,,,2,3,3,,,,,,0.6111109852790833,,,
SDN,33,8,1,-0.88349998,0.2918989062309265,0.7142857313156128,-1.458,-0.514,0.45723798871040344,,2,0,1,4.087616276904323,2.0533323287963867,,0.7198916673660278,4,0.5111110210418701,,0.2852458953857422,0.062081585
SUR,4,4,1,-0.087619998,0.34373050928115845,1.029411792755127,-0.087,-0.445,0.9674082398414612,,,,,,1.497307538986206,,,,0.6222226619720459,,,0.15423840662307278
SWZ,132,8,1,-0.078950003,0.33708280324935913,1,-0.956,0.385,1.5085258483886719,,,,,4.213593555835722,,,0.6086563467979431,,0.5888890027999878,0.28992313385009766,0.4932394027709961,0.280428666
SWE,5,3,1,2.3540000915527344,0.34343838691711426,0.985915482,2.725,2.575,2.713383436203003,0.8200467824935913,,,,6.314778451,1.4179229736328125,1.110274314880371,0.9931250810623169,,,0.4713916778564453,0,0.3259533326493034
CHE,6,3,1,2.2720000743865967,0.3386625051498413,1,2.819,2.331,2.8070337772369385,1,,,,6.302472064307129,1.2599023580551147,1.1591111421585083,0.9877081513404846,,,0.6189429473876953,0.007877602,0.20763659097000897
SYR,97,5,1,-1.202000022,0.3433527946472168,0.7142857313156128,-2.907,-1.798,-0.227544978,,,,,,2.7984321117401123,,0.7035146355628967,1,0.4777776598930359,,,
TAW,48,2,1,1.4550000429153442,0.3292123079299927,0.9210526943206787,1.431,2.403,2.1892316341400146,,,,,6.033432618,,,,18,,0.43877919607427324,0.051983787,0.127
TJK,133,3,1,-0.02922,0.3085572123527527,0.9210526943206787,-1.789,-0.956,1.4395314455032349,,4,2,1,2.511835270510419,1.0743459463119507,,0.5581688284873962,14,0.8111112713813782,,,0.2242031321019792
TZA,47,8,1,0.3776000142097473,0.2655090093612671,1,0.245,0.518,1.5981931686401367,,3,2,3,2.4018594094182872,0.4393138885498047,0.6155610680580139,0.47859761118888855,13,0.755556047,0.36848098754882813,0.085475941,0.10894999618164271
THA,49,2,1,0.5795000195503235,0.2845377027988434,1,-2.122,2.123,1.7402222156524658,0.5998179316520691,,,,4.434535993438609,2.0301265716552734,1.4431416988372803,0.9963145852088928,11,0.8555556535720825,0.3719256591796875,0.041695271,0.17603813489188108
TGO,134,8,1,-0.193499997,0.27740758657455444,0.5882353186607361,-0.397,1.076,0.7926186919212341,,2,1,1,2.356656109943377,0.8197547793388367,,0.49763140082359314,14,0.6555556654930115,0.1860047149658203,0.2303421401977539,0.21400908126325657
TTO,135,4,1,0.5713000297546387,0.30583080649375916,0.985915482,0.758,0.802,1.8027976751327515,,,,,5.0005010971437995,1.3751040697097778,1.7675185203552246,0.6028392314910889,,0.5666666626930237,0.6880152892286495,0.072201605,0.27784000396728514
TUN,98,5,1,0.6241000294685364,0.2858507037162781,1,0.123,-0.682,1.368613839149475,0.5849602222442627,,,,4.484263427536844,1.6630754470825195,,0.7549247741699219,12,0.7666673064231873,0.4249964713291697,0.053048405647277835,0.21339000701904298
TUR,99,3,1,1.003999948501587,0.28944259881973267,1.9444444179534912,-0.762,1.735,1.5141018629074097,0.8051890730857849,,,,5.3009496511422425,2.0175461769104004,,0.9956039786338806,14,0.8222223520278931,0.28631952285766604,0.020400648,0.17801383682776264
TKM,136,3,1,-0.707099974,0.3667094111442566,0.6034482717514038,-2.143,0.641,2.2164602279663086,,,,,,2.022675037384033,,0.3568311333656311,17,0.3333333134651184,,,
UGA,50,8,1,0.36910000443458557,0.27536439895629883,0.8974358439445496,-0.093,1.675,1.7013355493545532,,4,2,2,2.198203168530946,0.7947335243225098,,0.7191182971000671,14,0.7222226858139038,0.35652904510498046,0.087822256,0.11725819135470175
UKR,100,3,1,0.3095000088214874,0.298271507,0.7142857313156128,-1.268,-1.411,0.7554150223731995,,,,,4.202947886481858,1.901930332183838,,0.554979146,12,0.9111109972000122,0.28088050842285156,0.082642765,0.24892665186186475
ARE,207,5,1,0.7111999988555908,0.34780749678611755,1.3207546472549438,1.488,-0.135,1.811910629272461,,,,,,2.0542941093444824,,,17,,0.065471535,0.069860525,0.121736881
GBR,101,3,1,1.7769999504089355,0.34565290808677673,1,3.073,0.983,2.538905143737793,0.5552448034286499,,,,6.707872409568624,1.197925090789795,1.1925994157791138,0.9770306944847107,,,0.46445186614990236,3.227541595697403e-4,0.24816923459748794
USA,20,6,1,1.8600000143051147,0.34891098737716675,1,2.279,2.588,2.0140907764434814,0.5701025128364563,,,,7.588979653337339,1.648425579071045,1.0905344486236572,0.8164705038070679,,,0.636924057,0.010514163970947265,0.200100769
URY,102,4,1,1.2929999828338623,0.27959340810775757,1.0144927501678467,2.633,1.864,1.997969150543213,0.7417882680892944,,,,5.6534092953945185,2.135223865509033,2.0498340129852295,0.8217629194259644,18,0.8888887166976929,0.3079975700378418,0.057298903465270994,0.18451296262759626
UZB,140,3,1,-0.079549998,0.295794815,0.5882353186607361,-0.941,0.327,2.286586046218872,0.23871983587741852,5,2,3,,1.1626957654953003,,0.6920129656791687,14,0.511111319,0.313354435,0.15548388481140138,0.24933113106233498
VUT,206,2,0,,,0.7142857313156128,0.8,-0.105,1.6133891344070435,,4,2,2,,,,,,0.45555564761161804,0,0.21902185440063476,0.161104589
VEN,51,4,1,-0.02595,0.29199469089508057,1,-1.217,-0.154,0.8656903505325317,0.6080689430236816,,,,2.455784589857897,2.2833313941955566,,0.8656600713729858,10,0.8222223520278931,0.20212820053100586,0.084084873,0.1949262754073221
VNM,34,2,1,0.7556999921798706,0.2724407911300659,0.7142857313156128,0.528,1.154,1.2815515995025635,,4,3,3,3.9166424785213887,1.8919758796691895,,0.7585721611976624,18,0.8222223520278931,,,0.1659963883159322
YEM,14,5,1,-1.442000031,0.3121665120124817,0.2857142984867096,-3.149,-1.712,-0.136507615,0.4868890941143036,3,1,1,,0.5623419880867004,,0.5435992479324341,4,0.5555559992790222,,,
ZMB,61,8,1,0.3531999886035919,0.2672829031944275,1,0.075,1.443,1.5792444944381714,,4,2,2,3.1968268307267502,0.7125006914138794,,0.5798450112342834,16,0.6000003218650818,0.4657065200805664,0.099657736,0.12267901254764672
ZWE,62,8,1,0.29649999737739563,0.27478960156440735,0.9459459781646729,-1.108,1.175,2.5295772552490234,,4,1,3,3.3416775215437555,1.5427119731903076,,0.5271317958831787,14,0.6222220063209534,0.33596393585205075,0.097237883,0.25037047491355585
TLS,74,2,1,0.095310003,0.3014315068721771,1.75,0.369,-0.473,1.880793571472168,,3,0,1,3.462436071406249,0.7475249171257019,,0.5738018751144409,,0.6222223043441772,0.8131816101074218,0.10100167274475097,0.041684064
SRB,198,3,1,0.888700008,0.2918030023574829,1.2280701398849487,-0.146,0.617,1.4946722984313965,,,,,4.635307365,1.6028902530670166,1.7567142248153687,0.8211223483085632,16,0.8999999761581421,0.21943572998046876,0.034482758045196536,0.23667801995712595
MNE,183,3,1,1,0.33193179965019226,1.25,0.437,1.302,3.7190165519714355,0.521559477,,,,4.518981944970508,3.0066633224487305,2.0036375522613525,0.8211223483085632,18,0.7222223877906799,,,
KOS,43,3,1,-0.273799986,0.29401281476020813,1.2068965435028076,-0.457,-0.841,1.0803192853927612,,5,2,2,3.3693288276529785,,,0.8036804795265198,11,0.4000000059604645,0.12950752258300782,0.096411448,0.2185293611158946
SSD,32,8,1,-1.368000031,0.32914429903030396,,-2.095,-1.123,0.24473710358142853,,0,0,2,4.686739205945025,2.9049570560455322,,0.6071009635925293,6,0.3444446623325348,,,0.082957781
