iso3,VDem_2015,WBregion_2015,sample_polity_2015,Capacity_2015,Capacity_sd_2015,censusfreq_2015,v2clrspct_2015,v2stfisccap_2015,v2terr_2015,infcap_2015,irai_qbfm_2015,irai_qpa_2015,irai_erm_2015,milexpercap_2015,milpercap_2015,policecap_2015,StateHist50s_2015,bti_mo_2015,wbstat_2015,tax_inc_tax_2015,tax_trade_tax_2015,taxrev_gdp_2015
CPV,70,8,1,0.4860000014305115,0.2899293005466461,1,0.919,-0.724,3.7190165519714355,,4,4,3,2.890545316104991,1.189928650856018,1.5054609775543213,0.5869739055633545,,0.6666666269302368,0.31604522705078125,0.20104455947875977,0.19327264015333015
CAF,71,8,1,-1.541000009,0.33705011010169983,0.43478259444236755,-0.915,-1.611,0.24042603373527527,,2,0,0,1.9377650627866714,1.0345585346221924,,0.3953488767147064,1,0.5222226977348328,,,
TCD,109,8,1,-0.53490001,0.3119029998779297,0.2857142984867096,-0.843,-0.013,0.8518812656402588,,3,1,1,2.8130298875703788,1.3413084745407104,,0.5348557829856873,12,0.6555560231208801,,,0.062866143
CHL,72,4,1,1.503000020980835,0.28463470935821533,1,1.428,2.223,1.9818145036697388,0.7417882680892944,,,,5.555684089603452,1.9588158130645752,1.3438063859939575,0.8704745173454285,18,0.9555556774139404,0.3307814025878906,0.010692262649536132,0.1667958925093137
CHN,110,2,1,0.7145000100135803,0.2847805917263031,1.076923131942749,-0.474,1.552,1.9144710302352905,0.5998179316520691,,,,5.0333633776611935,1.1055315732955933,,0.970062792,16,0.699999988,0.2657015037536621,0.019381179809570312,0.192464528
COL,15,4,1,0.6180999875068665,0.28455719351768494,0.9090909361839294,0.253,1.517,0.701710045,0.6674997210502625,,,,5.263038742318502,2.409106492996216,,0.8667943477630615,10,0.8444443345069885,0.31954351425170896,0.037987916469573973,0.201
COM,153,8,1,-0.938199997,0.3421224057674408,0.7142857313156128,-0.706,-1.075,0.6692437529563904,,2,1,0,,,,,,0.42222169041633606,,0.1260106372833252,0.11088506526594868
COD,111,8,1,-0.99119997,0.286982,0.2857142984867096,-2.164,-0.011,0.5791321396827698,,3,1,1,2.007332772452692,1.0155140161514282,,0.5920843482017517,3,0.5777776837348938,0.31690205316842063,0.1464044952392578,0.10833000183105469
COG,112,8,1,-0.46540001,0.3014555871486664,0.43478259444236755,-0.895,1.275,1.468383789,,2,1,1,,1.2444779872894287,,0.6513054966926575,11,0.5000003576278687,,,0.17723786065331398
CRI,73,4,1,0.8695999979972839,0.29056259989738464,0.9090909361839294,2.207,2.161,1.8662956953048706,0.726930559,,,,0,1.1057645082473755,1.3346189260482788,0.8613243699073792,18,0.8444443345069885,0.29331302642822266,0.090836706,0.13173556998290095
CIV,64,8,1,-0.071359999,0.27359989285469055,1.2068965435028076,1.466,0.2,0.9944579005241394,,3,2,2,3.239743275791777,0.7306226491928101,,0.7171844840049744,11,0.5888890027999878,0.1274971580505371,0.30549432754516603,0.156337581
HRV,154,3,1,1.406000018119812,0.3123045861721039,1.2068965435028076,1.102,1.934,3.7190165519714355,,,,,5.345409975567071,1.683127999305725,1.7713261842727661,0.6816145777702332,18,0.8000003099441528,,,
CUB,155,4,1,0.5659999847412109,0.3301011919975281,0.8139535188674927,-0.988,0.105,2.376030921936035,0.5849602222442627,,,,2.4381911800976495,2.0368990898132324,,0.7182924151420593,18,,0.22809116363525392,0,0.3359125381027581
CYP,156,3,1,0.9259999990463257,0.355223686,0.37037035822868347,1.473,0.428,0.4637037515640259,,,,,5.6469475577602735,2.4834084510803223,1.6532260179519653,0.5548259019851685,,,0.36558631896972654,9.212888777256012e-4,0.2400181436752282
CZE,157,3,1,1.5859999656677246,0.33105409145355225,1.2068965435028076,1.777,2.185,3.145153045654297,,,,,5.129258686374185,1.2128030061721802,1.5627477169036865,0.6229879260063171,18,,0.37788612365722657,0,0.18976429423782257
DNK,158,3,1,2.697000026702881,0.3429267108440399,1.4893616437911987,3.442,2.246,1.880793571472168,0.8200467824935913,,,,6.384108949103697,1.3655987977981567,1.0501127243041992,0.9997149705886841,,,0.6305111694335938,0,0.455734617
DJI,113,5,1,-0.428799987,0.3336696922779083,0.5882353186607361,0.333,-0.641,1.3767808675765991,,2,1,2,,2.719222307,,0.6925323605537415,,0.46666666865348816,,,0.20130272144309472
DOM,114,4,1,0.5985999703407288,0.2931641936302185,1.029411792755127,-0.456,2.298,1.7316269874572754,0.5998179316520691,,,,3.8187220845711316,2.0681724548339844,,0.8358872532844543,16,0.7888889908790588,0.28964786529541015,0.07584507,0.13364649440265908
ECU,75,4,1,0.5636000037193298,0.28193768858909607,1.0144927501678467,0.136,1.022,1.6612662076950073,0.7417882680892944,,,,5.082777480740232,1.2566317319869995,,0.872389555,14,0.7222226858139038,0.3046160316467285,0.13114652633666993,0.1541895045768989
EGY,13,5,1,0.25690001249313354,0.29091259837150574,0.9090909361839294,-0.91,-1.077,0.9002259969711304,0.5998179316520691,,,,4.098191877913334,2.306382417678833,,0.7771598100662231,11,0.9111112952232361,0.31345081329345703,0.085232525,0.10497851794263267
SLV,22,4,1,0.48730000853538513,0.28562891483306885,0.7142857313156128,-0.319,0.733,1.5702369213104248,0.726930559,,,,3.692903998837519,2.023021936416626,1.562201976776123,0.8602198958396912,10,0.9111112952232361,0.35255325317382813,0.049460744857788085,0.151896886
GNQ,160,8,1,-0.520699978,0.3366163969039917,0.8045976758003235,-2.293,0.102,1.5717867612838745,,,,,4.774588643208089,0.755925179,,0.5008919835090637,,0.4222223162651062,0.6,0.063157897,0.034888243
ERI,115,8,1,-1.233999968,0.34405291080474854,0.2857142984867096,-2.084,-0.91,2.053748846054077,,1,1,2,,4.1166486740112305,,0.5556990504264832,10,0.2777779996395111,,,
EST,161,3,1,1.7020000219345093,0.3236992061138153,0.8860759735107422,3.012,2.251,3.7190165519714355,,,,,5.867700638,1.7691216468811035,1.382157564163208,0.5956178903579712,18,,0.35433631896972656,0,0.22390825597471856
ETH,38,8,1,0.10209999978542328,0.269450307,0.43478259444236755,-0.071,-0.653,1.8521798849105835,0.4444594383239746,5,3,3,1.6842969392572968,0.8622848391532898,,0.9454492926597595,12,0.6888890266418457,,0.3193355560302734,0.12736284064005005
